AAETAA-830,2011261,AAETAA
AAETAA-829,2010765,AAETAA
AAETAA-828,2010677,AAETAA
AAETAA-827,2010428,AAETAA
AAETAA-826,2010180,AAETAA
AAETAA-824,927041,AAETAA
AAETAA-823,927040,AAETAA
AAETAA-822,927039,AAETAA
AAETAA-821,927038,AAETAA
AAETAA-820,927037,AAETAA
AAETAA-819,927036,AAETAA
AAETAA-818,927035,AAETAA
AAETAA-817,927034,AAETAA
AAETAA-816,927033,AAETAA
AAETAA-815,927032,AAETAA
AAETAA-814,927031,AAETAA
AAETAA-813,927030,AAETAA
AAETAA-812,927029,AAETAA
AAETAA-811,927028,AAETAA
AAETAA-810,927027,AAETAA
AAETAA-809,927026,AAETAA
AAETAA-808,927025,AAETAA
AAETAA-807,927024,AAETAA
AAETAA-806,927023,AAETAA
AAETAA-805,927022,AAETAA
AAETAA-804,927021,AAETAA
AAETAA-803,927020,AAETAA
AAETAA-802,927019,AAETAA
AAETAA-801,927018,AAETAA
AAETAA-800,927017,AAETAA
AAETAA-799,927016,AAETAA
AAETAA-798,927015,AAETAA
AAETAA-797,927014,AAETAA
AAETAA-796,927013,AAETAA
AAETAA-795,927012,AAETAA
AAETAA-794,927011,AAETAA
AAETAA-793,927010,AAETAA
AAETAA-792,927009,AAETAA
AAETAA-791,927008,AAETAA
AAETAA-790,927007,AAETAA
AAETAA-789,927006,AAETAA
AAETAA-788,927005,AAETAA
AAETAA-787,927004,AAETAA
AAETAA-786,927003,AAETAA
AAETAA-785,927002,AAETAA
AAETAA-784,927001,AAETAA
AAETAA-783,927000,AAETAA
AAETAA-782,926999,AAETAA
AAETAA-781,926998,AAETAA
AAETAA-780,926997,AAETAA
AAETAA-779,926996,AAETAA
AAETAA-778,926995,AAETAA
AAETAA-777,926994,AAETAA
AAETAA-776,926993,AAETAA
AAETAA-775,926992,AAETAA
AAETAA-774,926991,AAETAA
AAETAA-773,926990,AAETAA
AAETAA-772,926989,AAETAA
AAETAA-771,926988,AAETAA
AAETAA-770,926987,AAETAA
AAETAA-769,926986,AAETAA
AAETAA-768,926985,AAETAA
AAETAA-767,926984,AAETAA
AAETAA-766,926983,AAETAA
AAETAA-765,926982,AAETAA
AAETAA-764,926981,AAETAA
AAETAA-763,926980,AAETAA
AAETAA-762,926979,AAETAA
AAETAA-761,926978,AAETAA
AAETAA-760,926977,AAETAA
AAETAA-759,926976,AAETAA
AAETAA-758,926975,AAETAA
AAETAA-757,926974,AAETAA
AAETAA-756,926973,AAETAA
AAETAA-755,926972,AAETAA
AAETAA-754,926971,AAETAA
AAETAA-753,926970,AAETAA
AAETAA-752,926969,AAETAA
AAETAA-751,926968,AAETAA
AAETAA-750,926967,AAETAA
AAETAA-749,926966,AAETAA
AAETAA-748,926965,AAETAA
AAETAA-747,926964,AAETAA
AAETAA-746,926963,AAETAA
AAETAA-745,926962,AAETAA
AAETAA-744,926961,AAETAA
AAETAA-743,926960,AAETAA
AAETAA-742,926959,AAETAA
AAETAA-741,926958,AAETAA
AAETAA-740,926957,AAETAA
AAETAA-739,926956,AAETAA
AAETAA-738,926955,AAETAA
AAETAA-737,926954,AAETAA
AAETAA-736,926953,AAETAA
AAETAA-735,926952,AAETAA
AAETAA-734,926951,AAETAA
AAETAA-733,926950,AAETAA
AAETAA-732,926949,AAETAA
AAETAA-731,926948,AAETAA
AAETAA-730,926947,AAETAA
AAETAA-729,926946,AAETAA
AAETAA-728,926945,AAETAA
AAETAA-727,926944,AAETAA
AAETAA-726,926943,AAETAA
AAETAA-725,926942,AAETAA
AAETAA-724,926941,AAETAA
AAETAA-723,926940,AAETAA
AAETAA-722,926939,AAETAA
AAETAA-721,926938,AAETAA
AAETAA-720,926937,AAETAA
AAETAA-719,926936,AAETAA
AAETAA-718,926935,AAETAA
AAETAA-717,926934,AAETAA
AAETAA-716,926933,AAETAA
AAETAA-715,926932,AAETAA
AAETAA-714,926931,AAETAA
AAETAA-713,926930,AAETAA
AAETAA-712,926929,AAETAA
AAETAA-711,926928,AAETAA
AAETAA-710,926927,AAETAA
